,CALLS_Chart,CALLS_OI,CALLS_Chng in OI,CALLS_Volume,CALLS_IV,CALLS_LTP,CALLS_Net Chng,CALLS_Bid Qty,CALLS_Bid Price,CALLS_Ask Price,CALLS_Ask Qty,Strike Price,PUTS_Bid Qty,PUTS_Bid Price,PUTS_Ask Price,PUTS_Ask Qty,PUTS_Net Chng,PUTS_LTP,PUTS_IV,PUTS_Volume,PUTS_Chng in OI,PUTS_OI,PUTS_Chart
0,0.0,8.0,8.0,16.0,0.0,5235.0,-2631.45,50.0,5605.4,5783.8,50.0,34000.0,20425.0,3.2,3.25,1000.0,0.20000000000000018,3.25,46.33,458788.0,40350.0,40935.0,0.0
1,0.0,4.0,4.0,5.0,0.0,4618.5,-2753.95,50.0,5104.9,5258.3,50.0,34500.0,4550.0,3.45,3.6,3150.0,0.3500000000000001,3.45,42.64,231322.0,6787.0,6811.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,4550.15,4747.75,50.0,35000.0,1850.0,3.85,4.1,125.0,-2.1499999999999995,4.15,39.51,364727.0,5839.0,21603.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825.0,4117.9,4301.6,825.0,35500.0,975.0,4.75,5.0,75.0,-3.9000000000000004,4.75,36.08,398870.0,19906.0,40700.0,0.0
4,0.0,20.0,0.0,8.0,0.0,3248.0,32.0,225.0,3617.75,3755.8,225.0,36000.0,1350.0,5.45,5.5,300.0,-8.8,5.5,32.62,654463.0,14175.0,44394.0,0.0
5,0.0,1.0,1.0,2.0,35.95,3182.85,-2242.4500000000003,900.0,3184.9,3278.9,225.0,36500.0,550.0,7.1,8.0,600.0,-15.700000000000001,7.35,29.66,773844.0,8880.0,41577.0,0.0
6,0.0,228.0,46.0,404.0,34.34,2700.0,408.6500000000001,25.0,2714.65,2767.35,75.0,37000.0,25.0,11.1,12.0,825.0,-26.799999999999997,11.1,27.04,1094502.0,24568.0,56031.0,0.0
7,0.0,12.0,8.0,40.0,31.16,2588.95,518.0499999999997,25.0,2588.4,2676.7,475.0,37100.0,50.0,12.7,13.7,200.0,-29.9,12.6,26.68,272892.0,2766.0,4968.0,0.0
8,0.0,64.0,0.0,0.0,0.0,1947.2,0.0,75.0,2458.25,2553.1,75.0,37200.0,700.0,11.35,13.5,25.0,-33.2,15.0,26.53,270194.0,3478.0,6042.0,0.0
9,0.0,60.0,0.0,0.0,0.0,1879.7,0.0,75.0,2406.3,2480.6,75.0,37300.0,25.0,14.6,15.0,3650.0,-36.35,15.0,25.6,255982.0,6535.0,10585.0,0.0
10,0.0,5.0,0.0,0.0,0.0,1875.6,0.0,75.0,2258.65,2384.3,75.0,37400.0,250.0,13.45,17.5,200.0,-44.650000000000006,13.45,24.21,295361.0,5852.0,9926.0,0.0
11,0.0,522.0,7.0,1436.0,32.92,2229.25,399.20000000000005,250.0,2200.4,2299.05,250.0,37500.0,625.0,18.65,19.2,200.0,-45.35,18.65,24.68,839167.0,15180.0,49494.0,0.0
12,0.0,105.0,10.0,48.0,31.82,2130.0,320.0,75.0,2058.0,2209.15,800.0,37600.0,225.0,20.0,21.5,725.0,-50.55,21.5,24.37,316293.0,7140.0,11288.0,0.0
13,0.0,146.0,10.0,104.0,28.09,2009.9,384.8000000000002,25.0,2016.15,2060.8,75.0,37700.0,175.0,23.05,24.3,150.0,-56.8,23.0,23.69,346884.0,5134.0,14598.0,0.0
14,0.0,136.0,23.0,55.0,28.38,1921.25,386.9000000000001,25.0,1934.85,2016.65,975.0,37800.0,25.0,25.75,27.2,25.0,-64.55,25.7,23.21,446612.0,8385.0,16415.0,0.0
15,0.0,107.0,0.0,112.0,24.63,1801.35,276.8499999999999,25.0,1772.5,1858.0,25.0,37900.0,100.0,28.9,29.75,25.0,-66.7,33.0,23.43,401255.0,4743.0,8901.0,0.0
16,0.0,2367.0,212.0,14845.0,29.43,1754.0,374.79999999999995,25.0,1736.95,1754.0,50.0,38000.0,1025.0,33.9,34.0,325.0,-78.80000000000001,33.9,22.5,1472674.0,21986.0,54900.0,0.0
17,0.0,153.0,1.0,360.0,25.29,1625.65,305.95000000000005,75.0,1640.25,1736.15,375.0,38100.0,25.0,36.95,38.9,400.0,-87.10000000000001,37.8,21.98,456070.0,1612.0,7124.0,0.0
18,0.0,615.0,59.0,1037.0,27.67,1563.2,340.1500000000001,25.0,1528.85,1578.25,75.0,38200.0,475.0,41.3,43.7,100.0,-95.8,43.2,21.59,603350.0,3185.0,16716.0,0.0
19,0.0,555.0,174.0,2783.0,26.63,1466.65,333.4000000000001,225.0,1446.9,1484.45,150.0,38300.0,400.0,45.45,48.45,100.0,-106.15,48.15,21.04,604523.0,9080.0,15923.0,0.0
20,0.0,805.0,168.0,5390.0,26.23,1378.3,332.3499999999999,75.0,1356.05,1454.75,250.0,38400.0,475.0,45.3,55.0,500.0,-119.19999999999999,54.0,20.52,645296.0,4954.0,21018.0,0.0
21,0.0,7247.0,1050.0,58001.0,25.05,1281.05,325.5999999999999,50.0,1280.8,1299.8,250.0,38500.0,14400.0,61.0,62.5,25.0,-134.7,61.0,20.02,1760580.0,19241.0,44096.0,0.0
22,0.0,1092.0,-338.0,20476.0,24.92,1198.65,285.70000000000005,250.0,1172.4,1200.0,25.0,38600.0,25.0,65.15,72.0,25.0,-144.0,71.05,19.7,772904.0,7173.0,17176.0,0.0
23,0.0,2287.0,441.0,58116.0,24.05,1107.3,285.4,75.0,1100.8,1116.55,150.0,38700.0,25.0,81.0,83.0,250.0,-165.85000000000002,81.05,19.25,1027417.0,7303.0,17303.0,0.0
24,0.0,3347.0,-775.0,97791.0,22.84,1011.85,265.20000000000005,25.0,989.7,1024.05,250.0,38800.0,25.0,85.45,95.5,800.0,-183.5,95.5,19.02,1422167.0,10710.0,25350.0,0.0
25,0.0,5832.0,1273.0,177228.0,19.64,886.75,210.95000000000005,25.0,891.3,935.0,200.0,38900.0,100.0,93.05,109.95,50.0,-213.89999999999998,93.0,17.43,1454241.0,10798.0,20741.0,0.0
26,0.0,55093.0,-17855.0,1282283.0,22.28,854.35,248.75,25.0,844.1,854.35,75.0,39000.0,25.0,113.1,127.95,350.0,-234.75,113.25,17.37,3950787.0,10694.0,101410.0,0.0
27,0.0,8704.0,-1646.0,997074.0,19.77,740.35,192.75,100.0,753.7,770.0,100.0,39100.0,275.0,132.0,147.0,400.0,-250.39999999999998,132.0,17.01,2091673.0,8413.0,20320.0,0.0
28,0.0,17498.0,-1109.0,1780257.0,21.42,701.4,206.09999999999997,600.0,679.0,700.95,325.0,39200.0,525.0,154.95,169.2,50.0,-258.45000000000005,162.1,17.14,2620649.0,9188.0,24591.0,0.0
29,0.0,17458.0,1018.0,1955582.0,20.12,612.45,166.75000000000006,175.0,612.45,620.0,250.0,39300.0,25.0,183.15,194.5,150.0,-271.55,192.25,17.04,2175991.0,13384.0,22710.0,0.0
30,0.0,20781.0,9901.0,2024984.0,19.56,540.0,153.8,425.0,540.0,551.0,75.0,39400.0,100.0,219.5,223.75,200.0,-283.65,221.0,16.65,1685548.0,15010.0,19651.0,0.0
31,0.0,60471.0,17386.0,3550701.0,19.2,475.0,132.10000000000002,350.0,475.0,480.0,4575.0,39500.0,75.0,247.05,258.65,25.0,-310.0,245.85,15.87,2123123.0,36710.0,54386.0,0.0
32,0.0,25005.0,11536.0,1742150.0,19.15,420.0,123.10000000000002,100.0,413.15,420.0,1100.0,39600.0,50.0,288.0,300.0,400.0,-320.45000000000005,300.0,16.34,644508.0,13101.0,15813.0,0.0
33,0.0,28205.0,18626.0,1523491.0,18.9,365.0,108.55000000000001,25.0,362.9,365.0,50.0,39700.0,50.0,333.0,340.1,25.0,-323.65000000000003,340.05,15.86,338818.0,9013.0,10890.0,0.0
